title,subtitle,authors,publishedDate,industryIdentifiers,previewLink,publicDomain,pdfDownloadLink,epubDownloadLink
The Mahabharata of Krishna-Dwaipayana Vyasa (Classic Reprint),,Pratāpacandra Rāya,2017-12-15,"0332836436,9780332836430",http://books.google.com/books?id=nxRQtAEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=100&source=gbs_api,False,,
The Mahabharata of Krishna-Dwapayana Vyasa ; Translated Into English Prose from the Original Sanskrit Text by Pratap Chandra Roy,,,1970,OCLC:1078032716,http://books.google.com/books?id=X7JkwAEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=101&source=gbs_api,False,,
The Mahabharata of Krishna-Dwaipayana Vyasa,Translated Into English Prose. Mausala Parva,,1896,OCLC:1083429517,http://books.google.com/books?id=mDHTwQEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=102&source=gbs_api,False,,
"The Mahabharata of Krishna-Dwaipayana Vyasa, Translated Into English Prose. Published and Distributed Chiefly Gratis by Protap Chandra Roy",,,1884,OCLC:460345225,http://books.google.com/books?id=3ybdjwEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=103&source=gbs_api,False,,
The Mahabharata of Krishna-Dwaipayana Vyasa,Translated Into English Prose (Classic Reprint),Pratāpa Chandra Rāy,2017-11-23,"0331809834,9780331809831",http://books.google.com/books?id=Z93hswEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=104&source=gbs_api,False,,
The Mahabharata of Krishna-Dwaipayana Vyasa Translated Into English Prose,Drona Parva (2nd Ed. 1892),Kisari Mohan Ganguli,2015-10-24,"1345247125,9781345247121",http://books.google.com/books?id=CHuOjwEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=105&source=gbs_api,False,,
The Mahabharata of Krishna-Dwaipayana Vyasa,Translated Into English Prose. Sauptika Parva,,1890,OCLC:1083427408,http://books.google.com/books?id=b2DJwQEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=106&source=gbs_api,False,,
The Mahabharata of Krishna-Dwaipayana Vyasa,Translated Into English Prose. Canti Parva$nVol. II,,1891,OCLC:1083428194,http://books.google.com/books?id=M6jQwQEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=107&source=gbs_api,False,,
Mahabharata of Krishna-dwaipayana Vyasa,Translated Into English Prose,Roy Pratap Chandra,1901,"0243848625,9780243848621",http://books.google.com/books?id=h-CAzQEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=108&source=gbs_api,False,,
Mahabharata of Krishna-dwaipayana Vyasa,Translated Into English Prose from the Original Sanskrit Text,Roy Pratap Chandra,1901,"024384879X,9780243848799",http://books.google.com/books?id=cD92zQEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=109&source=gbs_api,False,,
The Mahabharata of Krishna-Dwaipayana Vyasa,Translated Into English Prose. Udyoga Parva,,1886,OCLC:1083372228,http://books.google.com/books?id=sBzVwQEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=110&source=gbs_api,False,,
Mahabharata of Krishna-dwaipayana Vyasa,Translated Into English Prose from the Original Sanskrit Text; Brishma Parva,Roy Pratap Chandra,1901,"0243821859,9780243821853",http://books.google.com/books?id=z7N1zQEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=111&source=gbs_api,False,,
The Mahabharata of Krishna-Dwaipayana Vyasa Translated Into English Prose,Karna Parva (1889). Calya Parva (1889). Sauptika Parva (1890). Stree Parva (1890),Kisari Mohan Ganguli,2015-08-31,"1340677725,9781340677725",http://books.google.com/books?id=WVfljwEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=112&source=gbs_api,False,,
MAHABHARATA OF KRISHNA-DWAIPAY,,Anonymous,2016-08-28,"137203305X,9781372033056",http://books.google.com/books?id=huMsvgAACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=113&source=gbs_api,False,,
The Mahabharata of Krishna-Dwaipayana Vyasa,Translated Into English Prose (Classic Reprint),Protap Chandra Roy,2017-11-22,"0331696525,9780331696523",http://books.google.com/books?id=UwPXtAEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=114&source=gbs_api,False,,
The Mahabharata ... Translated Into English Prose ... by Pratap Chandra Roy ... New Edition. (Revised by S. L. Bhaduri).,,"Pratāpacandra Rāya,S. L. BHADURI",1919,OCLC:562649773,http://books.google.com/books?id=NrsiMwEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=115&source=gbs_api,False,,
The Mahabharata ... Translated Into English Prose. Published and Distributed ... by Protap Chandra Roy,,Pratāpacandra Rāya,1883,OCLC:562649744,http://books.google.com/books?id=_2kfMwEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=116&source=gbs_api,False,,
˜Theœ Mahabharata of Krishna-Dvaipayana Vyasa,Translated Into English Prose from to the Original Sanskrit Text,,1962,OCLC:1073532275,http://books.google.com/books?id=wAX8vgEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=117&source=gbs_api,False,,
A Prose English Translation of the Mahabharata,(tr. Literally from the Original Sanskrit Text),Manmathanatha Datta,1897,STANFORD:36105010216120,http://books.google.com/books?id=EmIMAAAAIAAJ&pg=RA2-PP1&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=118&source=gbs_api,True,http://books.google.com/books/download/A_Prose_English_Translation_of_the_Mahab.pdf?id=EmIMAAAAIAAJ&hl=&output=pdf&sig=ACfU3U0YlXF08XwzPI8GdnUJGsJ68pZYww&source=gbs_api,http://books.google.com/books/download/A_Prose_English_Translation_of_the_Mahab.epub?id=EmIMAAAAIAAJ&hl=&output=epub&source=gbs_api
The Mahabharata of Krishna-Dwaipayana Vyasa Translated Into English Prose: Adi parva (1893). Sabha parva (1899),,,1884,WISC:89040410326,http://books.google.com/books?id=z7xZAAAAMAAJ&pg=PT22&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=119&source=gbs_api,True,http://books.google.com/books/download/The_Mahabharata_of_Krishna_Dwaipayana_Vy.pdf?id=z7xZAAAAMAAJ&hl=&output=pdf&sig=ACfU3U16nqEPHHO_BHM9vLngSmEmLhfsWQ&source=gbs_api,http://books.google.com/books/download/The_Mahabharata_of_Krishna_Dwaipayana_Vy.epub?id=z7xZAAAAMAAJ&hl=&output=epub&source=gbs_api
"The Mahabharata of Krishna-Dwaipayana Vyasa, Translated Into English Prose",,Pratāpacandra Rāya,1884,UCAL:B4022383,http://books.google.com/books?id=S3hFAQAAIAAJ&pg=PT3&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=120&source=gbs_api,True,http://books.google.com/books/download/The_Mahabharata_of_Krishna_Dwaipayana_Vy.pdf?id=S3hFAQAAIAAJ&hl=&output=pdf&sig=ACfU3U3-vK7BnCxmH49AHNcq-xu8MBsDxQ&source=gbs_api,http://books.google.com/books/download/The_Mahabharata_of_Krishna_Dwaipayana_Vy.epub?id=S3hFAQAAIAAJ&hl=&output=epub&source=gbs_api
The Mahabharata of Krishna-Dwaipayana Vyasa Translated Into English Prose: Bhishma parva (1891),,,1886,WISC:89040410433,http://books.google.com/books?id=A9RZAAAAMAAJ&pg=PT4&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=121&source=gbs_api,True,http://books.google.com/books/download/The_Mahabharata_of_Krishna_Dwaipayana_Vy.pdf?id=A9RZAAAAMAAJ&hl=&output=pdf&sig=ACfU3U28GX311yrxq_5xTByfwtEJ-E1YMA&source=gbs_api,http://books.google.com/books/download/The_Mahabharata_of_Krishna_Dwaipayana_Vy.epub?id=A9RZAAAAMAAJ&hl=&output=epub&source=gbs_api
The Mahabharata of Krishna-Dwaipayana Vyasa Translated Into English Prose: Karna parva (1889). Çalya parva (1889). Sauptika parva (1890). Stree parva (1890),,,1887,WISC:89094596533,http://books.google.com/books?id=yrpZAAAAMAAJ&pg=PA463&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=122&source=gbs_api,True,http://books.google.com/books/download/The_Mahabharata_of_Krishna_Dwaipayana_Vy.pdf?id=yrpZAAAAMAAJ&hl=&output=pdf&sig=ACfU3U1XyW6GarAfNevBm6Xks9V9JGuw1Q&source=gbs_api,http://books.google.com/books/download/The_Mahabharata_of_Krishna_Dwaipayana_Vy.epub?id=yrpZAAAAMAAJ&hl=&output=epub&source=gbs_api
The Mahabharata of Krishna-Dwaipayana Vyasa Translated into English Prose,Virata Parva,Anonymous,2019-11-25,EAN:4057664644824,http://books.google.com/books?id=SKHJDwAAQBAJ&pg=PT226&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=123&source=gbs_api,False,,
